slang,formal,domain
bạc biên kêu to lắm,vòng bi thanh truyền bị gõ,mechanics
bạc biên,vòng bi thanh truyền,mechanics
ống bô,ống xả,mechanics
két nước,hệ thống làm mát,mechanics
xú páp,van động cơ,mechanics
phuộc nhún,hệ thống giảm xóc,mechanics
củ đề,động cơ khởi động,mechanics
dinamo,máy phát điện,mechanics
dây curoa,dây đai truyền động,mechanics
lốc máy,thân động cơ,mechanics
bố thắng,má phanh,mechanics
thước lái,hệ thống lái,mechanics
cốp pha,ván khuôn,construction
giàn giáo,hệ thống giàn giáo,construction
xà gồ,dầm mái,construction
tắc kê,bu lông neo,construction
cẩu tháp,cần cẩu tháp,construction
máy múc,máy xúc đất,construction
nhông sên,bộ truyền động xích,mechanics
ty thủy lực,xi lanh thủy lực,heavy_machinery
rơ le,rơ-le điện,electrical
át tô mát,cầu dao tự động,electrical
cầu chì,thiết bị bảo vệ ngắn mạch,electrical
máy lạnh,điều hòa nhiệt độ,mep
quạt hút,quạt thông gió,mep
bơm chìm,máy bơm nước thải,mep
